fecha_de_apertura,dia_de_apertura,fecha_ocurrencia_hechos,dia_ocurrencia,hora_militar_ocurrencia_hechos,conforman_unidad_domestica,fisica,verbal,economica,psicologica,sexual,genero_m_f_victima,edad_victima,victima_conflicto_armado,etnia_victima,estado_civil_victima,escolaridad_victima,corregimiento_victima,comuna_de_la_victima,barrio_victima,ocupacion_victima,no_hijos_victima,vivienda_victima,nucleo_familiar_victima,numero_hermanos_victima,genero_agresor_m_f,parentesco_frente_a_la_victima,no_de_hijos_agresor,edad_agresor,estado_civil_agresor,escolaridad_agresor,ocupacion_agresor,corregimiento_agresor,comuna_agresor,barrio,tipo_vivienda
2022-06-01T00:00:00.000,jueves,29/12/2021,miércoles,9:35 a.m.,si,si,si,no,si,no,femenino,26.0,no,no,soltero(a),bachiller completo,juanchito,comuna10,juanchito,empleado,1.0,alquilada,2,5.0,masculino,ex-conyuge,1.0,23.0,soltero(a),bachiller completo,empleado,juanchito,comuna10,no,familiar
2022-07-01T00:00:00.000,viernes,2022-07-01T00:00:00.000,viernes,10:14 a.m.,si,si,si,no,si,no,femenino,29.0,no,no,soltero(a),bachiller completo,ninguno,comuna5,san pedro,empleado,1.0,alquilada,3,5.0,masculino,ex-conyuge,1.0,30.0,soltero(a),bachiller completo,independiente,ninguno,comuna5,san pedro,alquilada
2022-11-01T00:00:00.000,martes,2022-06-01T00:00:00.000,miércoles,10:00 a.m.,si,si,si,no,si,no,femenino,48.0,no,no,soltero(a),primaria incompleta,ninguno,comuna1,20 de julio,independiente,4.0,propia,3,0.0,masculino,hijo(a),2.0,23.0,casado(a),bachiller incompleto,independiente,ninguno,comuna1,no,alquilada
13/01/2022,jueves,13/01/2022,jueves,10:00 a.m.,si,no,si,no,si,no,femenino,31.0,no,no,soltero(a),pregrado,ninguno,comuna3,la concordia,empleado,1.0,alquilada,2,0.0,masculino,ex-conyuge,1.0,37.0,soltero(a),bachiller completo,empleado,ninguno,comuna1,no,familiar
19/01/2022,miércoles,2022-12-01T00:00:00.000,miércoles,12:21 p.m.,si,si,si,no,si,no,femenino,32.0,no,no,soltero(a),bachiller completo,ninguno,comuna1,urb. simon bolivar,independiente,1.0,propia,3,1.0,masculino,ex-conyuge,1.0,30.0,soltero(a),bachiller completo,independiente,ninguno,comuna4,san cayetano,familiar
19/01/2022,miércoles,18/01/2022,martes,10:50 a.m.,si,si,si,no,si,no,femenino,72.0,no,no,soltero(a),primaria incompleta,ninguno,comuna3,la emilia,independiente,8.0,alquilada,2,1.0,femenino,hijo(a),0.0,19.0,soltero(a),primaria incompleta,desempleado,ninguno,comuna3,la emilia,alquilada
21/01/2022,viernes,2022-09-01T00:00:00.000,domingo,13:00 p.m.,si,no,si,no,si,no,femenino,28.0,no,no,soltero(a),bachiller completo,ninguno,comuna5,san pedro,independiente,3.0,alquilada,2,0.0,masculino,ex-conyuge,0.0,25.0,soltero(a),primaria incompleta,desempleado,ninguno,comuna3,la emilia,alquilada
21/01/2022,viernes,2022-04-01T00:00:00.000,martes,11:30 a.m.,si,si,si,no,si,no,masculino,17.0,no,no,soltero(a),primaria completa,ninguno,comuna3,el tríangulo,independiente,0.0,familiar,7,0.0,masculino,tío(a),1.0,29.0,unión libre,bachiller incompleto,independiente,ninguno,comuna3,el triángulo,familiar
24/01/2022,lunes,19/01/2022,miércoles,9:49 a.m.,si,no,si,no,si,no,femenino,36.0,no,no,soltero(a),bachiller completo,ninguno,comuna7,chapinero,independiente,2.0,propia,3,3.0,masculino,ex-conyuge,1.0,38.0,soltero(a),bachiller completo,empleado,ninguno,comuna1,zamorano,alquilada
25/01/2022,martes,25/01/2022,martes,9:00 a.m.,si,no,si,no,si,no,femenino,60.0,no,no,unión libre,primaria incompleta,boyaca,comuna12,cgto boyaca,independiente,1.0,propia,2,0.0,masculino,conyuge,3.0,72.0,unión libre,primaria incompleta,pensionado,boyaca,comuna12,no,familiar
